Operador;Tipo Pausa;Fecha inicio;Fecha_fin
CFERREYRA;administrativo;2022-12-22 12:01:39;2022-12-22 12:01:52
CFERREYRA;administrativo;2022-12-22 12:02:25;2022-12-22 12:06:56
LRIOS;descanso;2022-12-22 12:03:22;2022-12-22 12:12:27
EBARRERA;descanso;2022-12-22 12:03:48;2022-12-22 12:19:55
MERASO;administrativo;2022-12-22 12:04:14;2022-12-22 12:05:36
MERASO;administrativo;2022-12-22 12:05:39;2022-12-22 12:21:28
ALEDESMA;descanso;2022-12-22 12:07:13;2022-12-22 12:25:35
CSUAREZ;administrativo;2022-12-22 12:10:24;2022-12-22 12:13:34
ndelaoliva;administrativo;2022-12-22 12:11:17;2022-12-22 12:13:56
AREYES;administrativo;2022-12-22 12:13:22;2022-12-22 12:15:13
CFERREYRA;administrativo;2022-12-22 12:14:11;2022-12-22 12:15:10
CFERREYRA;administrativo;2022-12-22 12:15:36;2022-12-22 12:17:27
NCORONEL;administrativo;2022-12-22 12:16:49;2022-12-22 12:26:05
CCACERES;administrativo;2022-12-22 12:17:04;2022-12-22 12:18:18
MBENABIDES;descanso;2022-12-22 12:17:26;2022-12-22 12:34:08
ndelaoliva;administrativo;2022-12-22 12:18:41;
CFERREYRA;administrativo;2022-12-22 12:19:43;2022-12-22 12:20:44
gaspaz;descanso;2022-12-22 12:20:51;2022-12-22 12:36:51
CFERREYRA;administrativo;2022-12-22 12:21:18;2022-12-22 12:22:00
ABORELLA;descanso;2022-12-22 12:21:57;2022-12-22 12:35:07
VDACOSTA;descanso;2022-12-22 12:23:58;2022-12-22 12:39:36
ASAMANIEGO;administrativo;2022-12-22 12:24:14;2022-12-22 12:24:56
CSUAREZ;administrativo;2022-12-22 12:25:24;2022-12-22 12:25:50
MDELRIO;descanso;2022-12-22 12:25:34;2022-12-22 12:25:37
LRIOS;administrativo;2022-12-22 12:25:50;2022-12-22 12:26:56
CSUAREZ;descanso;2022-12-22 12:25:53;2022-12-22 12:40:55
MERASO;administrativo;2022-12-22 12:25:54;2022-12-22 12:28:19
MDELRIO;descanso;2022-12-22 12:25:59;2022-12-22 12:40:48
CFERREYRA;administrativo;2022-12-22 12:26:40;2022-12-22 12:28:37
CMONTENEGRO;descanso;2022-12-22 12:28:02;2022-12-22 12:28:07
CMONTENEGRO;administrativo;2022-12-22 12:28:13;2022-12-22 12:28:19
SOSAA;administrativo;2022-12-22 12:28:46;2022-12-22 12:31:23
NCORONEL;administrativo;2022-12-22 12:28:57;2022-12-22 12:30:10
CFERREYRA;administrativo;2022-12-22 12:29:23;2022-12-22 12:33:22
CMONTENEGRO;descanso;2022-12-22 12:30:20;2022-12-22 13:52:37
MERASO;administrativo;2022-12-22 12:31:00;2022-12-22 12:32:39
CFERREYRA;administrativo;2022-12-22 12:34:13;2022-12-22 12:35:04
CFERREYRA;administrativo;2022-12-22 12:35:28;2022-12-22 12:40:18
VAZQUEZE;administrativo;2022-12-22 12:36:10;2022-12-22 12:43:02
ndelaoliva;administrativo;2022-12-22 12:40:07;2022-12-22 12:44:32
SOSAA;descanso;2022-12-22 12:41:16;2022-12-22 12:54:34
btorres;descanso;2022-12-22 12:41:28;2022-12-22 12:56:40
CCACERES;administrativo;2022-12-22 12:41:36;2022-12-22 12:41:56
FEIRIS;descanso;2022-12-22 12:41:41;2022-12-22 12:55:16
CFERREYRA;administrativo;2022-12-22 12:41:51;2022-12-22 12:41:53
bcantero;descanso;2022-12-22 12:41:52;2022-12-22 12:56:49
CFERREYRA;administrativo;2022-12-22 12:42:50;2022-12-22 12:44:20
lconstantino;descanso;2022-12-22 12:43:23;2022-12-22 12:43:40
LRIOS;administrativo;2022-12-22 12:43:40;2022-12-22 12:48:29
VAZQUEZE;descanso;2022-12-22 12:44:04;2022-12-22 12:56:12
lconstantino;descanso;2022-12-22 12:44:07;2022-12-22 13:00:21
caguirre;descanso;2022-12-22 12:44:23;2022-12-22 13:50:13
CFERREYRA;administrativo;2022-12-22 12:45:25;2022-12-22 12:46:17
cgonzalez;descanso;2022-12-22 12:46:45;2022-12-22 13:01:27
ndelaoliva;administrativo;2022-12-22 12:47:15;2022-12-22 12:48:45
CFERREYRA;administrativo;2022-12-22 12:47:33;2022-12-22 12:49:11
YGONZALEZ;descanso;2022-12-22 12:48:51;2022-12-22 13:01:51
ndelaoliva;administrativo;2022-12-22 12:49:48;2022-12-22 12:50:54
MERASO;administrativo;2022-12-22 12:50:13;2022-12-22 12:52:32
clara;administrativo;2022-12-22 12:51:03;2022-12-22 12:59:48
ndelaoliva;administrativo;2022-12-22 12:51:23;2022-12-22 12:52:18
